customer_id,segment,customer_orders,customer_sales,customer_profit,first_order_date,last_order_date,customer_avg_discount,line_count,loss_line_count,customer_margin,recency_days,customer_avg_order_value,is_repeat_customer,loss_line_rate,customer_label
SV-20365,Consumer,9,8332.09,688.3981,2014-01-11,2017-09-20,0.18666666666666665,15,6,0.08262009891875868,101,925.7877777777778,True,0.4,KH-001
JE-15715,Consumer,5,6920.136,968.0821,2016-07-08,2017-06-15,0.18571428571428572,7,2,0.13989350787325566,198,1384.0272,True,0.2857142857142857,KH-002
PF-19120,Consumer,2,6837.348,117.0058,2015-06-15,2015-09-17,0.18,5,2,0.017112746053001837,835,3418.674,True,0.4,KH-003
CJ-12010,Consumer,5,6267.194,-494.91059999999993,2016-03-10,2017-05-01,0.23000000000000004,9,5,-0.07896845063356901,243,1253.4388000000001,True,0.5555555555555556,KH-004
GT-14710,Consumer,4,6219.26,268.6073,2014-11-17,2017-05-14,0.125,4,2,0.043189591687757066,230,1554.815,True,0.5,KH-005
LA-16780,Corporate,7,5387.39,1146.4878,2014-04-29,2016-12-23,0.175,8,2,0.21280950515927008,372,769.6271428571429,True,0.25,KH-006
TP-21415,Consumer,4,4899.1208,-621.944,2015-11-28,2017-08-17,0.305,4,3,-0.12695012541842202,135,1224.7802,True,0.75,KH-007
NP-18700,Consumer,2,4839.6585000000005,176.76140000000004,2014-12-12,2016-08-12,0.23750000000000002,4,1,0.03652352743483864,505,2419.8292500000002,True,0.25,KH-008
BB-11545,Corporate,5,4768.498,770.1477,2016-11-11,2017-12-02,0.1,5,1,0.16150739708813971,28,953.6995999999999,True,0.2,KH-009
BD-11320,Consumer,5,4513.113,805.984,2015-05-31,2017-11-27,0.1,5,1,0.17858715259289984,33,902.6226,True,0.2,KH-010
JE-15745,Consumer,8,4422.921,-332.4586,2014-11-26,2017-11-09,0.19444444444444445,9,5,-0.07516720285078571,51,552.865125,True,0.5555555555555556,KH-011
QJ-19255,Corporate,1,4404.9,1013.127,2015-11-08,2015-11-08,0.0,1,0,0.23,783,4404.9,False,0.0,KH-012
MS-17365,Consumer,4,4398.642,487.7342,2015-03-05,2016-11-26,0.21000000000000002,5,1,0.1108829043145589,399,1099.6605,True,0.2,KH-013
JH-15985,Consumer,1,4297.644,-1862.3124,2015-01-28,2015-01-28,0.4,1,1,-0.4333333333333333,1067,4297.644,False,1.0,KH-014
TW-21025,Home Office,3,4276.416,513.8174,2015-09-05,2017-06-13,0.1,4,1,0.12015140715964022,200,1425.472,True,0.25,KH-015
ME-17320,Home Office,5,4132.06,750.2579999999999,2014-01-06,2017-11-18,0.1,5,2,0.1815699675222528,42,826.412,True,0.4,KH-016
JD-16150,Corporate,6,4078.8205,720.5795,2014-11-16,2017-03-25,0.04375,8,1,0.17666369481079153,280,679.8034166666666,True,0.125,KH-017
NF-18385,Consumer,6,4048.738,211.7178,2014-02-11,2017-10-12,0.16666666666666666,6,2,0.052292294537211355,79,674.7896666666667,True,0.3333333333333333,KH-018
AH-10690,Corporate,6,4012.692,336.22959999999995,2014-04-02,2016-10-04,0.19999999999999998,7,3,0.08379152947696956,452,668.782,True,0.42857142857142855,KH-019
EB-13840,Corporate,3,3939.2599999999998,568.3697999999999,2014-12-13,2017-10-01,0.26666666666666666,3,1,0.14428339332768084,90,1313.0866666666666,True,0.3333333333333333,KH-020
