order_id,order_date,ship_date,shipping_days,customer_id,segment,region,state,city,order_sales,order_profit,order_quantity,order_line_count,order_avg_discount,order_has_loss_line,order_loss_line_count,order_margin
CA-2014-100090,2014-07-08,2014-07-12,4,EB-13705,Corporate,West,California,San Francisco,502.488,-87.9354,3,1,0.2,True,1,-0.17500000000000002
CA-2014-100678,2014-04-18,2014-04-22,4,KM-16720,Consumer,Central,Texas,Houston,317.058,-18.1176,3,1,0.3,True,1,-0.05714285714285714
CA-2014-100706,2014-12-16,2014-12-18,2,LE-16810,Consumer,South,Virginia,Springfield,29.46,9.7218,6,1,0.0,False,0,0.33
CA-2014-100916,2014-10-21,2014-10-26,5,FH-14275,Corporate,South,Virginia,Newport News,591.32,112.3508,4,1,0.0,False,0,0.19
CA-2014-101462,2014-04-20,2014-04-25,5,BP-11230,Consumer,West,California,Los Angeles,59.92,27.5632,4,1,0.0,False,0,0.45999999999999996
CA-2014-101560,2014-11-28,2014-12-01,3,CS-12250,Corporate,South,South Carolina,Columbia,397.6,43.736,5,1,0.0,False,0,0.10999999999999999
CA-2014-101602,2014-12-15,2014-12-18,3,MC-18100,Consumer,Central,Texas,El Paso,763.28,-21.808,5,1,0.3,True,1,-0.02857142857142857
CA-2014-101931,2014-10-28,2014-10-31,3,TS-21370,Corporate,West,California,Los Angeles,616.998,-36.294,6,1,0.15,True,1,-0.0588235294117647
CA-2014-102295,2014-11-24,2014-11-26,2,EH-13990,Consumer,West,California,Sacramento,120.712,-18.1068,1,1,0.2,True,1,-0.15
CA-2014-102652,2014-04-06,2014-04-12,6,AY-10555,Corporate,West,California,Los Angeles,125.07,28.546100000000003,9,2,0.0,False,0,0.22824098504837295
CA-2014-102869,2014-09-09,2014-09-14,5,LC-17140,Consumer,East,Pennsylvania,Philadelphia,17.472,5.0232,3,1,0.2,False,0,0.2875
CA-2014-103086,2014-10-17,2014-10-19,2,EB-14170,Consumer,Central,Texas,Houston,5.312,-1.5936,2,1,0.6,True,1,-0.3
CA-2014-103219,2014-11-09,2014-11-13,4,BF-11215,Home Office,East,New York,New York City,56.52,21.4776,9,1,0.0,False,0,0.37999999999999995
CA-2014-103310,2014-05-10,2014-05-15,5,GM-14680,Consumer,West,California,San Jose,256.784,32.098,1,1,0.2,False,0,0.125
CA-2014-103317,2014-07-05,2014-07-08,3,DM-13525,Corporate,South,Florida,Palm Coast,232.73600000000002,21.3592,5,2,0.2,False,0,0.09177437096108895
CA-2014-103331,2014-08-26,2014-09-01,6,KB-16315,Consumer,East,Delaware,Newark,10.68,4.0584,4,1,0.0,False,0,0.38
CA-2014-103849,2014-05-11,2014-05-16,5,PG-18895,Consumer,Central,Texas,Fort Worth,66.112,-84.2928,4,1,0.6,True,1,-1.2750000000000001
CA-2014-103940,2014-09-17,2014-09-21,4,BN-11515,Consumer,West,Washington,Seattle,35.34,13.4292,2,1,0.0,False,0,0.37999999999999995
CA-2014-103989,2014-03-19,2014-03-21,2,MC-17605,Corporate,South,Florida,Lakeland,25.008,6.8772,6,2,0.2,False,0,0.275
CA-2014-104178,2014-08-25,2014-08-29,4,JM-15265,Corporate,West,California,Los Angeles,6.28,2.6376,1,1,0.0,False,0,0.42
CA-2014-104269,2014-03-01,2014-03-06,5,DB-13060,Consumer,West,Washington,Seattle,457.568,51.4764,2,1,0.2,False,0,0.1125
CA-2014-104283,2014-06-27,2014-07-01,4,LM-17065,Consumer,South,Mississippi,Southaven,85.98,22.3548,1,1,0.0,False,0,0.26
CA-2014-104472,2014-06-02,2014-06-07,5,CK-12325,Home Office,West,Utah,Orem,73.32,21.996,6,1,0.0,False,0,0.3
CA-2014-104563,2014-03-07,2014-03-12,5,CM-12715,Corporate,West,Washington,Seattle,918.2719999999999,76.0116,8,2,0.2,False,0,0.08277678073599108
CA-2014-105165,2014-09-07,2014-09-10,3,SZ-20035,Home Office,Central,Texas,Houston,200.795,-22.948,1,1,0.3,True,1,-0.1142857142857143
CA-2014-105249,2014-11-28,2014-11-28,0,DH-13675,Home Office,West,California,San Francisco,411.332,-4.8392,4,1,0.15,True,1,-0.011764705882352941
CA-2014-105270,2014-11-11,2014-11-18,7,AP-10915,Consumer,West,California,Los Angeles,112.648,11.2648,1,1,0.2,False,0,0.09999999999999999
CA-2014-105417,2014-01-07,2014-01-12,5,VS-21820,Consumer,Central,Texas,Huntsville,76.728,-53.7096,3,1,0.6,True,1,-0.7000000000000001
CA-2014-105648,2014-03-03,2014-03-07,4,EJ-14155,Consumer,West,California,San Diego,626.352,-23.4882,3,1,0.2,True,1,-0.0375
CA-2014-105984,2014-11-24,2014-11-24,0,MY-18295,Corporate,East,Ohio,Columbus,611.058,-34.9176,3,1,0.3,True,1,-0.05714285714285714
CA-2014-106229,2014-06-07,2014-06-11,4,NR-18550,Consumer,Central,Illinois,Aurora,268.935,-209.7693,3,1,0.5,True,1,-0.7799999999999999
CA-2014-106264,2014-12-26,2014-12-30,4,CK-12595,Consumer,West,California,San Diego,3.48,1.1136,2,1,0.0,False,0,0.32
CA-2014-106439,2014-10-31,2014-11-04,4,GG-14650,Corporate,West,California,Los Angeles,146.352,-9.147,3,1,0.2,True,1,-0.0625
CA-2014-106810,2014-05-14,2014-05-20,6,AJ-10795,Corporate,South,Florida,Saint Petersburg,310.88,23.316,2,1,0.2,False,0,0.075
CA-2014-107454,2014-11-02,2014-11-06,4,RD-19720,Consumer,East,New York,New York City,89.34,24.1218,6,1,0.0,False,0,0.27
CA-2014-107811,2014-04-29,2014-05-03,4,LA-16780,Corporate,South,Tennessee,Memphis,561.584,70.198,2,1,0.2,False,0,0.125
CA-2014-107818,2014-09-08,2014-09-14,6,MC-17275,Consumer,West,Washington,Pasco,975.92,121.99,5,1,0.2,False,0,0.125
CA-2014-107916,2014-08-24,2014-08-26,2,JP-15460,Corporate,East,New York,Oceanside,13.28,6.3744,2,1,0.0,False,0,0.48
CA-2014-108273,2014-12-16,2014-12-21,5,EJ-13720,Consumer,Central,Texas,Huntsville,56.568,-74.9526,2,1,0.6,True,1,-1.3250000000000002
CA-2014-108609,2014-10-31,2014-11-02,2,AJ-10780,Corporate,East,Ohio,Lorain,1421.664,-734.5264,8,1,0.4,True,1,-0.5166666666666666
CA-2014-109134,2014-11-05,2014-11-10,5,DE-13255,Home Office,West,California,Los Angeles,20.04,8.8176,6,1,0.0,False,0,0.44000000000000006
CA-2014-109232,2014-01-13,2014-01-16,3,ND-18370,Consumer,South,South Carolina,Mount Pleasant,545.94,87.3504,6,1,0.0,False,0,0.15999999999999998
CA-2014-109491,2014-02-20,2014-02-26,6,LC-16930,Corporate,Central,Indiana,Richmond,20.32,6.9088,4,1,0.0,False,0,0.34
CA-2014-109897,2014-08-12,2014-08-16,4,BW-11200,Consumer,West,California,San Francisco,85.44,31.6128,3,1,0.0,False,0,0.37
CA-2014-110030,2014-12-06,2014-12-08,2,LF-17185,Consumer,Central,Texas,Houston,23.976,-14.3856,3,1,0.6,True,1,-0.6
CA-2014-110072,2014-10-22,2014-10-28,6,MG-17680,Home Office,East,Ohio,Newark,93.888,12.9096,4,1,0.2,False,0,0.13749999999999998
CA-2014-110219,2014-05-05,2014-05-08,3,EB-13870,Consumer,Central,Texas,San Antonio,127.869,-9.1335,3,1,0.3,True,1,-0.07142857142857142
CA-2014-110408,2014-10-18,2014-10-20,2,AS-10225,Corporate,South,Alabama,Montgomery,545.88,70.9644,6,1,0.0,False,0,0.13
CA-2014-110422,2014-01-21,2014-01-23,2,TB-21400,Consumer,South,Florida,Miami,25.248,4.1028,3,1,0.2,False,0,0.1625
