product_id,product_name,sub_category,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg,product_label,classification,classification_rule
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,5,5,5,9917.64,-2876.1156,-0.29000000000000004,27,0.27999999999999997,0.8333333333333335,4,0.8,1983.5279999999998,-575.22312,4.0,FUR-TA-10000198 - Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Tables,7,7,7,9544.725,-1934.3975999999998,-0.20266666666666663,33,0.35000000000000003,0.6444444444444444,6,0.8571428571428571,1363.5321428571428,-276.34251428571423,5.142857142857143,FUR-TA-10001889 - Bush Advantage Collection Racetrack Conference Table,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10001950,Balt Solid Wood Round Tables,Tables,4,4,4,6518.754,-1201.0581,-0.18424657534246575,19,0.2,0.4520547945205479,2,0.5,1629.6885,-300.264525,4.5,FUR-TA-10001950 - Balt Solid Wood Round Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,3,3,3,1706.25,-1148.4375,-0.6730769230769231,15,0.48333333333333334,1.0,3,1.0,568.75,-382.8125,4.333333333333333,FUR-TA-10004289 - BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,5,5,5,4446.175,-1147.4,-0.25806451612903225,25,0.3,0.9354838709677419,4,0.8,889.235,-229.48000000000002,3.4,"FUR-TA-10004154 - Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-CH-10003312,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Chairs,6,6,6,5282.424,-989.0495999999999,-0.18723404255319148,24,0.21666666666666665,1.0,6,1.0,880.404,-164.8416,3.0,FUR-CH-10003312 - Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Bookcases,7,7,7,2740.197,-975.0988,-0.355849889624724,37,0.42142857142857143,0.9116997792494481,5,0.7142857142857143,391.4567142857143,-139.29982857142858,4.0,FUR-BO-10001972 - O'Sullivan 4-Shelf Bookcase in Odessa Pine,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004256,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Tables,4,4,4,5634.9,-964.194,-0.1711111111111111,17,0.225,0.7037037037037037,3,0.75,1408.725,-241.0485,4.25,FUR-TA-10004256 - Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Tables,8,8,8,6942.067999999999,-856.0144,-0.12330827067669174,36,0.275,0.5864661654135338,6,0.75,867.7584999999999,-107.0018,3.75,"FUR-TA-10002958 - Bevis Oval Conference Table, Walnut",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002533,BPI Conference Tables,Tables,5,5,5,2241.8675,-795.9725000000001,-0.35504885993485347,26,0.37,0.8697068403908795,4,0.8,448.3735,-159.1945,3.0,FUR-TA-10002533 - BPI Conference Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Bookcases,5,5,5,2946.3668000000007,-767.7436,-0.26057298772169163,22,0.332,1.0,5,1.0,589.2733600000001,-153.54872,4.4,FUR-BO-10000780 - O'Sullivan Plantations 2-Door Library in Landvery Oak,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Bookcases,6,6,6,3420.7704000000003,-755.7516,-0.22093023255813954,21,0.24,1.0,6,1.0,570.1284,-125.9586,4.666666666666667,FUR-BO-10003272 - O'Sullivan Living Dimensions 5-Shelf Bookcases,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10003954,Hon 94000 Series Round Tables,Tables,5,5,5,7404.5,-681.2139999999999,-0.092,30,0.16,0.48,3,0.6,1480.9,-136.2428,4.2,FUR-TA-10003954 - Hon 94000 Series Round Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,5,5,5,15610.9656,-669.5448000000004,-0.04288939051918738,24,0.23399999999999999,0.7178329571106095,2,0.4,3122.19312,-133.90896000000006,3.6,"FUR-BO-10004834 - Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10004467,Bestar Classic Bookcase,Bookcases,8,8,8,1897.8102000000001,-612.9386999999999,-0.3229715489989462,31,0.31499999999999995,0.7365648050579556,4,0.5,237.22627500000002,-76.61733749999999,3.375,FUR-BO-10004467 - Bestar Classic Bookcase,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Tables,6,6,6,4297.644,-611.5878,-0.1423076923076923,11,0.3333333333333333,0.6153846153846154,5,0.8333333333333334,716.274,-101.93130000000001,4.333333333333333,"FUR-TA-10003238 - Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10001768,Hon Racetrack Conference Tables,Tables,6,6,6,3963.901,-598.5228,-0.1509933774834437,22,0.2833333333333334,0.8013245033112583,4,0.6666666666666666,660.6501666666667,-99.7538,2.8333333333333335,FUR-TA-10001768 - Hon Racetrack Conference Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10000849,Bevis Rectangular Conference Tables,Tables,4,4,4,1007.262,-586.8396,-0.582608695652174,13,0.475,1.0,4,1.0,251.8155,-146.7099,4.75,FUR-TA-10000849 - Bevis Rectangular Conference Tables,Rationalize,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables,8,8,8,7242.768,-532.7613,-0.07355769230769231,29,0.2625,0.7596153846153847,5,0.625,905.346,-66.5951625,4.625,FUR-TA-10000577 - Bretford CR4500 Series Slim Rectangular Table,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,Furnishings,6,6,6,3317.0119999999997,-530.0379999999999,-0.15979381443298968,25,0.2333333333333333,0.6391752577319588,5,0.8333333333333334,552.8353333333333,-88.33966666666664,4.166666666666667,FUR-FU-10001468 - Tenex Antistatic Computer Chair Mats,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furnishings,4,4,4,2058.496,-529.76,-0.25735294117647056,19,0.3,0.2647058823529411,2,0.5,514.624,-132.44,2.75,"FUR-FU-10003806 - Tenex Chairmat w/ Average Lip, 45"" x 53""",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Tables,6,6,6,2671.421,-519.941,-0.1946308724832215,20,0.26666666666666666,0.8657718120805369,5,0.8333333333333334,445.2368333333333,-86.65683333333334,3.6666666666666665,"FUR-TA-10002041 - Bevis Round Conference Table Top, X-Base",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Chairs,14,14,14,4166.884,-503.1194,-0.12074235807860262,59,0.2285714285714286,0.868995633187773,12,0.8571428571428571,297.6345714285714,-35.9371,3.5714285714285716,"FUR-CH-10003774 - Global Wood Trimmed Manager's Task Chair, Khaki",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Chairs,9,9,9,3680.5379999999996,-491.17499999999995,-0.13345195729537368,35,0.1888888888888889,0.9288256227758008,8,0.8888888888888888,408.9486666666666,-54.574999999999996,3.111111111111111,"FUR-CH-10003298 - Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002607,KI Conference Tables,Tables,8,8,8,2140.878,-479.2164,-0.223841059602649,44,0.325,0.8675496688741721,7,0.875,267.60975,-59.90205,3.75,FUR-TA-10002607 - KI Conference Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Chairs,14,14,14,5436.158,-474.74139999999994,-0.08733031674208143,54,0.1857142857142857,0.6832579185520361,10,0.7142857142857143,388.297,-33.91009999999999,4.214285714285714,"FUR-CH-10002880 - Global High-Back Leather Tilter, Burgundy",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
