region,sub_category,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg
East,Tables,80,76,76,39139.807,-11025.3801,-0.28169224493110046,271,0.3737499999999999,1.0,78,0.975,514.9974605263158,-145.07079078947368,3.6
South,Tables,51,49,47,43916.192,-4623.0579,-0.10527000838324051,227,0.22254901960784312,0.48686056386673965,27,0.5294117647058824,896.2488163265307,-94.34812040816325,3.8823529411764706
Central,Furnishings,205,191,168,15254.369999999999,-3906.2168,-0.2560719846181783,758,0.40390243902439016,0.43559321033907,138,0.6731707317073171,79.8658115183246,-20.451396858638745,3.946341463414634
Central,Tables,72,68,67,39154.971000000005,-3559.6504,-0.09091183849938235,262,0.26249999999999996,0.569821160128046,49,0.6805555555555556,575.8083970588236,-52.3478,4.194444444444445
Central,Bookcases,50,49,48,24157.1768,-1997.9043,-0.08270437876664462,192,0.2328,0.7772496329124019,36,0.72,493.0036081632653,-40.77355714285714,4.0
West,Bookcases,80,79,75,36004.1235,-1646.5117,-0.04573119798347542,306,0.22874999999999995,0.8337351553635238,32,0.4,455.7483987341772,-20.841920253164556,3.525
East,Bookcases,70,68,67,43819.334,-1167.631800000001,-0.026646498096023114,252,0.21999999999999997,0.6865828677359632,33,0.4714285714285714,644.4019705882354,-17.171055882352956,3.9714285714285715
South,Bookcases,28,28,28,10899.362,1339.4918,0.12289634934595256,118,0.10000000000000002,0.3728981567911957,8,0.2857142857142857,389.2629285714285,47.838992857142856,3.892857142857143
West,Tables,116,114,108,84754.562,1482.6073000000006,0.017492949819031576,481,0.19999999999999998,0.6200795657465612,49,0.4224137931034483,743.4610701754386,13.005327192982461,3.913793103448276
South,Furnishings,165,149,141,17306.683999999997,3442.6829,0.19892215631833343,615,0.10666666666666666,0.41813579077309093,7,0.04242424242424243,116.15224161073824,23.105254362416105,4.054545454545455
West,Chairs,207,191,171,101781.328,4027.584299999999,0.0395709545074908,734,0.19999999999999996,1.0,67,0.32367149758454106,532.8865340314136,21.086828795811513,3.816425120772947
East,Furnishings,283,256,216,29071.38,5881.4071,0.20230918174507023,1015,0.07773851590106008,0.3933917137748535,15,0.053003533568904596,113.560078125,22.974246484375,3.8692579505300353
Central,Chairs,154,144,127,85230.64600000001,6592.7221,0.07735154441983226,615,0.19285714285714287,0.4826389090140182,94,0.6103896103896104,591.8794861111112,45.78279236111111,3.9155844155844157
South,Chairs,88,84,81,45176.445999999996,6612.089300000001,0.14636143135296656,331,0.09772727272727272,0.41984922851168954,16,0.18181818181818182,537.8148333333332,78.71534880952382,4.090909090909091
West,Furnishings,304,281,231,30072.730000000003,7641.270399999999,0.2540930071862448,1175,0.03289473684210526,0.16419127894274976,7,0.023026315789473683,107.02039145907474,27.193133096085408,4.006578947368421
East,Chairs,168,157,143,96260.68299999999,9357.7706,0.09721280078596575,676,0.15059523809523812,0.7843713616700602,58,0.34523809523809523,613.1253694267515,59.60363439490446,3.886904761904762
