product_id,product_name,sub_category,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg,product_label,classification,classification_rule
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,5,5,5,9917.64,-2876.1156,-0.29000000000000004,27,0.27999999999999997,0.8333333333333335,4,0.8,1983.5279999999998,-575.22312,4.0,FUR-TA-10000198 - Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Tables,7,7,7,9544.725,-1934.3975999999998,-0.20266666666666663,33,0.35000000000000003,0.6444444444444444,6,0.8571428571428571,1363.5321428571428,-276.34251428571423,5.142857142857143,FUR-TA-10001889 - Bush Advantage Collection Racetrack Conference Table,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10001950,Balt Solid Wood Round Tables,Tables,4,4,4,6518.754,-1201.0581,-0.18424657534246575,19,0.2,0.4520547945205479,2,0.5,1629.6885,-300.264525,4.5,FUR-TA-10001950 - Balt Solid Wood Round Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,3,3,3,1706.25,-1148.4375,-0.6730769230769231,15,0.48333333333333334,1.0,3,1.0,568.75,-382.8125,4.333333333333333,FUR-TA-10004289 - BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,5,5,5,4446.175,-1147.4,-0.25806451612903225,25,0.3,0.9354838709677419,4,0.8,889.235,-229.48000000000002,3.4,"FUR-TA-10004154 - Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-CH-10003312,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Chairs,6,6,6,5282.424,-989.0495999999999,-0.18723404255319148,24,0.21666666666666665,1.0,6,1.0,880.404,-164.8416,3.0,FUR-CH-10003312 - Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Bookcases,7,7,7,2740.197,-975.0988,-0.355849889624724,37,0.42142857142857143,0.9116997792494481,5,0.7142857142857143,391.4567142857143,-139.29982857142858,4.0,FUR-BO-10001972 - O'Sullivan 4-Shelf Bookcase in Odessa Pine,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10004256,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Tables,4,4,4,5634.9,-964.194,-0.1711111111111111,17,0.225,0.7037037037037037,3,0.75,1408.725,-241.0485,4.25,FUR-TA-10004256 - Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Tables,8,8,8,6942.067999999999,-856.0144,-0.12330827067669174,36,0.275,0.5864661654135338,6,0.75,867.7584999999999,-107.0018,3.75,"FUR-TA-10002958 - Bevis Oval Conference Table, Walnut",Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-TA-10002533,BPI Conference Tables,Tables,5,5,5,2241.8675,-795.9725000000001,-0.35504885993485347,26,0.37,0.8697068403908795,4,0.8,448.3735,-159.1945,3.0,FUR-TA-10002533 - BPI Conference Tables,Repair,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
