product_id,product_name,sub_category,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg,product_label,classification,classification_rule
FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furnishings,8,8,8,2699.0559999999996,1260.221,0.4669117647058824,29,0.07500000000000001,0.26470588235294124,0,0.0,337.38199999999995,157.527625,4.0,"FUR-FU-10002937 - GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Grow,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furnishings,5,5,5,168.84,78.256,0.4634920634920635,13,0.04,0.12698412698412698,0,0.0,33.768,15.6512,5.0,FUR-FU-10002671 - Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings,6,6,6,434.56,197.104,0.4535714285714286,24,0.13333333333333333,0.19642857142857142,1,0.16666666666666666,72.42666666666666,32.85066666666667,4.333333333333333,"FUR-FU-10001861 - Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10002045,"Executive Impressions 14""",Furnishings,4,4,4,377.90999999999997,166.28040000000001,0.44000000000000006,17,0.0,0.0,0,0.0,94.47749999999999,41.570100000000004,5.25,"FUR-FU-10002045 - Executive Impressions 14""",Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",Furnishings,3,3,3,98.868,42.2436,0.4272727272727273,7,0.06666666666666667,0.24242424242424243,0,0.0,32.955999999999996,14.0812,3.6666666666666665,"FUR-FU-10000409 - GE 4 Foot Flourescent Tube, 40 Watt",Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10003274,Regeneration Desk Collection,Furnishings,5,5,5,35.904,15.2064,0.4235294117647059,21,0.04,0.11764705882352941,0,0.0,7.1808000000000005,3.04128,3.2,FUR-FU-10003274 - Regeneration Desk Collection,Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10000771,"Eldon 200 Class Desk Accessories, Smoke",Furnishings,4,4,4,138.16,58.0272,0.42000000000000004,22,0.0,0.0,0,0.0,34.54,14.5068,5.0,"FUR-FU-10000771 - Eldon 200 Class Desk Accessories, Smoke",Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furnishings,7,7,7,136.34400000000002,56.11840000000001,0.4115942028985507,28,0.028571428571428574,0.05797101449275361,0,0.0,19.47771428571429,8.016914285714288,5.285714285714286,"FUR-FU-10002597 - C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furnishings,8,8,8,455.06999999999994,183.1312,0.4024242424242425,34,0.05,0.12121212121212122,0,0.0,56.88374999999999,22.8914,4.125,FUR-FU-10000629 - 9-3/4 Diameter Round Wall Clock,Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
FUR-FU-10001591,Advantus Panel Wall Certificate Holder - 8.5x11,Furnishings,6,6,6,270.84000000000003,108.092,0.3990990990990991,23,0.06666666666666667,0.14414414414414412,0,0.0,45.14000000000001,18.015333333333334,3.6666666666666665,FUR-FU-10001591 - Advantus Panel Wall Certificate Holder - 8.5x11,Scale selectively,sales_threshold=1087.92; margin_threshold=0.0249; min_lines=3
